"match_name","full_name","marathon","year","vaporfly"
"PETER LIMO","PETER LIMO","Columbus Marathon",2016,FALSE
"JASON SIMPSON","JASON SIMPSON","Columbus Marathon",2016,NA
"TEKLU DENEKE","TEKLU TEFERA DENEKE","Columbus Marathon",2017,TRUE
"MAKOROBONDO SALUKOMBO","MAKOROBONDO SALUKOMBO","Columbus Marathon",2017,NA
"CRAIG LEON","CRAIG LEON","Eugene Marathon",2015,FALSE
"JUAN CARLOS TRUJILLO","CARLOS TRUJILLO","Eugene Marathon",2016,FALSE
"TEKLU DENEKE","TEKLU DENEKE","Eugene Marathon",2017,FALSE
"TEKLU DENEKE","TEKLU DENEKE","Eugene Marathon",2018,TRUE
"CHARLIE HURT","CHARLIE HURT","Eugene Marathon",2019,FALSE
"ELISHA BARNO","ELISHA BARNO","Grandma's Marathon",2015,FALSE
"DOMINIC ONDORO","DOMINIC ONDORO","Grandma's Marathon",2015,FALSE
"JORDAN CHIPANGAMA","JORDAN CHIPANGAMA","Grandma's Marathon",2015,FALSE
"NEGASH ABEBE DUKI","NEGASH DUKI","Grandma's Marathon",2015,FALSE
"BIRHANU DARE KEMAL","BIRHANU DARE KEMAL","Grandma's Marathon",2015,FALSE
"LUKE PUSKEDRA","LUKE PUSKEDRA","Grandma's Marathon",2015,FALSE
"NOAH CHEPNGABIT","NOAH CHEPNGABIT","Grandma's Marathon",2015,FALSE
"BRENDAN MARTIN","BRENDAN MARTIN","Grandma's Marathon",2015,FALSE
"ABRAHAM CHELANGA","ABRAHAM CHELANGA","Grandma's Marathon",2015,FALSE
"MESHACK KIRWA","MESHACK KIRWA","Grandma's Marathon",2015,FALSE
"NICHOLAS HILTON","NICHOLAS HILTON","Grandma's Marathon",2015,FALSE
"ELIUD TOO","ELIUD TOO","Grandma's Marathon",2015,FALSE
"JESSE CHERRY","JESSE CHERRY","Grandma's Marathon",2015,FALSE
